"","DATE","WeatherStation","Date","Tmax","Tmin","RHMax","RHMin","ISODate","Year","Month","Day","JDay","Hour","Temp"
"1210",2019-06-27 12:00:00,"Fieldstone",2019-06-27 03:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,3,17.3801627479402
"1510",2019-06-27 12:00:00,"Fieldstone",2019-06-27 04:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,4,16.9111343281861
"1810",2019-06-27 12:00:00,"Fieldstone",2019-06-27 05:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,5,18.798312651883
"2110",2019-06-27 12:00:00,"Fieldstone",2019-06-27 06:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,6,21.2973002323741
"2410",2019-06-27 12:00:00,"Fieldstone",2019-06-27 07:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,7,23.6874959498993
"2710",2019-06-27 12:00:00,"Fieldstone",2019-06-27 08:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,8,25.905435125227
"3010",2019-06-27 12:00:00,"Fieldstone",2019-06-27 09:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,9,27.8922268494308
"3310",2019-06-27 12:00:00,"Fieldstone",2019-06-27 10:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,10,29.5951176602934
"3610",2019-06-27 12:00:00,"Fieldstone",2019-06-27 11:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,11,30.9688922567057
"3910",2019-06-27 12:00:00,"Fieldstone",2019-06-27 12:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,12,31.9770740591732
"4210",2019-06-27 12:00:00,"Fieldstone",2019-06-27 13:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,13,32.5928937390456
"4510",2019-06-27 12:00:00,"Fieldstone",2019-06-27 14:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,14,32.8
"4810",2019-06-27 12:00:00,"Fieldstone",2019-06-27 15:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,15,32.5928937390456
"5110",2019-06-27 12:00:00,"Fieldstone",2019-06-27 16:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,16,31.9770740591732
"5410",2019-06-27 12:00:00,"Fieldstone",2019-06-27 17:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,17,30.9688922567057
"5710",2019-06-27 12:00:00,"Fieldstone",2019-06-27 18:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,18,29.5951176602934
"6010",2019-06-27 12:00:00,"Fieldstone",2019-06-27 19:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,19,27.8922268494308
"6310",2019-06-27 12:00:00,"Fieldstone",2019-06-27 20:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,20,17.2
"6610",2019-06-27 12:00:00,"Fieldstone",2019-06-27 21:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,21,17.2
"6910",2019-06-27 12:00:00,"Fieldstone",2019-06-27 22:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,22,17.2
"7210",2019-06-27 12:00:00,"Fieldstone",2019-06-27 23:00:00,32.8,17.2,99,44,2019-06-27,2019,6,27,178,23,17.2
